OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y,Combined Latitude,Combined Longitude
187268,1,1,0,0,-37.53913814,175.9338506,4,1,1859217.294,5841270.807,929589.87743093,2920723.3704253
181767,1,1,0,1,-40.38642863,175.6382388,4,1,1823937.54,5526009.676,911948.576785685,2763092.6571194
186792,1,1,0,0,-43.52459977,172.6680243,6,1,1573172.538,5180873.087,786564.5067001149,2590522.87751215
181966,1,1,0,1,-43.557558,172.653893,2,1,1572045.798,5177208.127,786001.1202209999,2588690.3904465004
181834,1,1,0,1,-38.012522,177.283381,3,1,1976090.728,5784129.062,988026.357739,2892153.1726905
185952,1,1,0,0,-37.949836,176.998989,3,1,1951409.663,5792202.179,975685.8565819999,2896189.5889944998
188346,1,1,0,0,-41.799545,172.325373,2,1,1543953.844,5372259.744,771956.0222275,2686216.0346865
186972,1,1,0,0,-41.799545,172.325373,2,1,1543953.844,5372259.744,771956.0222275,2686216.0346865
181480,1,1,0,1,-42.402332,173.682548,2,1,1656169.651,5305326.128,828063.624334,2652749.9052739996
180311,1,1,0,1,-35.984141,174.44488,2,1,1730253.979,6016845.429,865108.9974295,3008509.93694
190746,1,1,0,0,-40.95187263,175.6603085,6,1,1823910.165,5463177.159,911934.606563685,2731676.40965425
180419,1,1,0,1,-36.834533,175.703773,2,1,1841116.764,5920071.047,920539.9647335,2960123.3753865003
183411,1,1,0,0,-40.91217889,175.0022089,6,1,1768617.094,5469061.963,884288.090910555,2734618.48260445
182370,1,1,0,1,-41.291425,174.782858,2,1,1749281.874,5427358.265,874620.2912875001,2713766.523929
185579,1,1,0,0,-41.298815,174.7869,2,1,1749603.44,5426530.851,874781.0705924999,2713352.8189499998
182805,1,1,0,1,-40.917054,175.002489,4,1,1768628.287,5468520.2,884293.684973,2734347.6012445
180411,1,1,0,1,-41.26184911,174.9461883,4,1,1763032.078,5430348.079,881495.408075445,2715261.51259415
191203,1,1,0,0,-43.3239869,172.6643429,4,1,1572785.318,5203151.292,786370.99700655,2601661.97817145
181047,1,1,0,1,-43.528367,172.620082,2,1,1569300.156,5180438.128,784628.3138165,2590305.374041
187042,1,1,0,0,-45.097049,170.973075,2,1,1440517.284,5004270.072,720236.0934755,2502220.5225374997
184435,1,1,0,0,-36.160955,174.443894,2,1,1729873.993,5997233.324,864918.9160225,2998703.883947
191480,1,1,0,0,-39.454334,173.86043,2,1,1674027.852,5632450.277,836994.198833,2816312.068715
180371,1,1,0,1,-42.52231104,172.8283791,4,1,1585903.587,5292215.261,792930.53234448,2646194.04468955
191601,1,1,0,0,-43.90528,171.745359,3,1,1499250.062,5137882.392,749603.0783599999,2569027.0686795
190460,1,1,0,0,-43.90318226,171.7463065,4,1,1499322.612,5138116.537,749639.35440887,2569144.14165325
189738,1,1,0,0,-43.38398,170.184601,4,1,1371950.291,5192693.259,685953.45351,2596431.7218004996
182953,1,1,0,1,-40.91217889,175.0022089,6,1,1768617.094,5469061.963,884288.090910555,2734618.48260445
180875,1,1,0,1,-36.819835,174.608373,2,1,1743448.995,5923906.796,871706.0875825001,2962040.7021865
184045,1,1,0,0,-37.78702527,175.2839907,4,1,1801120.224,5815357.594,900541.2184873649,2907766.4389953497
184792,1,1,0,0,-40.95187263,175.6603085,6,1,1823910.165,5463177.159,911934.606563685,2731676.40965425
183762,1,1,0,0,-41.460704,173.961785,2,1,1680322.219,5409651.986,840140.379148,2704912.9738924997
190664,1,1,0,0,-43.526263,172.570683,4,1,1565307.186,5180652.381,782631.8298685,2590412.4758415
182761,1,1,0,1,-38.373898,178.296608,2,1,2062809.155,5739397.784,1031385.390551,2869788.040304
181451,1,1,0,1,-41.28381,174.738131,2,1,1745553.579,5428279.658,872756.147595,2714227.1980655
183309,1,1,0,0,-41.829084,174.130996,2,1,1693917.315,5368581.867,846937.7429579999,2684377.998998
181067,1,1,0,1,-43.90528,171.745359,3,1,1499250.062,5137882.392,749603.0783599999,2569027.0686795
187839,1,1,0,0,-40.644432,175.703665,2,1,1828612.93,5497198.354,914286.142784,2748687.0288325003
181285,1,1,0,1,-41.29055552,174.8970403,2,1,1758845.116,5427252.116,879401.91272224,2713713.50652015
191507,1,1,0,0,-40.917054,175.002489,4,1,1768628.287,5468520.2,884293.684973,2734347.6012445
184160,1,1,0,0,-39.809757,175.788255,2,1,1838680.954,5589637.665,919320.5721214999,2794906.7266275
180124,1,1,0,1,-43.481908,172.706855,2,1,1576293.809,5185626.147,788125.1635459999,2592899.4269275
182787,1,1,0,1,-39.9258,175.040425,2,1,1774365.01,5578485.125,887162.5421,2789330.0827125
183508,1,1,0,0,-35.379808,174.065521,2,1,1696780.997,6084315.272,848372.808596,3042244.6687605
181394,1,1,0,1,-38.698202,174.619256,2,1,1740812.046,5715469.172,870386.673899,2857821.895628
182341,1,1,0,1,-40.546907,175.410771,4,1,1804141.023,5508745.821,902050.2380465,2754460.6158855003
191478,1,1,0,0,-39.177432,175.402147,2,1,1807498.019,5660784.583,903729.4207840001,2830479.9925734997
191418,1,1,0,0,-36.860782,174.828352,2,1,1762983.505,5919011.102,881473.322109,2959592.965176
182686,1,1,0,1,-43.9089175,171.7426923,6,1,1499042.07,5137475.129,749499.0805412501,2568823.43584615
181804,1,1,0,1,-36.908289,174.735404,2,1,1754601.324,5913895.055,877282.2078555,2957034.8952019997
191111,1,1,0,0,-43.381896,172.660077,2,1,1572465.637,5196718.781,786211.1275520001,2598445.7205385
187980,1,1,0,0,-46.237234,169.738245,2,1,1348522.06,4874421.225,674237.9113830001,2437295.4816225
180560,1,1,0,1,-41.799545,172.325373,2,1,1543953.844,5372259.744,771956.0222275,2686216.0346865
180941,1,1,0,1,-39.080674,177.874369,2,1,2021705.575,5662947.3,1010833.2471629999,2831562.5871845
191850,1,1,0,0,-41.22468191,174.906075,4,1,1759762.159,5434549.0,879860.467159045,2717361.9530375
187851,1,1,0,0,-41.123868,175.070866,2,1,1773841.718,5445425.575,886900.297066,2722800.322933
181090,1,1,0,1,-45.128575,170.097858,2,1,1371779.277,4998668.452,685867.0742125,2499419.2749289996
181358,1,1,0,1,-37.203677,175.873856,2,1,1855049.752,5878663.233,927506.2741615,2939419.553428
181889,1,1,0,1,-40.917054,175.002489,4,1,1768628.287,5468520.2,884293.684973,2734347.6012445
183337,1,1,0,0,-43.528367,172.620082,2,1,1569300.156,5180438.128,784628.3138165,2590305.374041
180087,1,1,0,1,-41.308936,174.785277,2,1,1749444.436,5425409.99,874701.563532,2712792.3876385
187354,1,1,0,0,-39.133366,177.003793,3,1,1946101.465,5660784.554,973031.1658170001,2830480.7788965
180877,1,1,0,1,-36.834533,175.703773,2,1,1841116.764,5920071.047,920539.9647335,2960123.3753865003
187439,1,1,0,0,-42.812788,173.273014,2,1,1622320.368,5259938.297,811138.777606,2630055.785007
187001,1,1,0,0,-43.528367,172.620082,2,1,1569300.156,5180438.128,784628.3138165,2590305.374041
188425,1,1,0,0,-45.542158,169.316024,2,1,1312401.168,4950215.873,656177.8129210001,2475192.5945119997
181064,1,1,0,1,-43.770308,172.790497,4,1,1583138.618,5153616.704,791547.423846,2576894.7472485
181896,1,1,0,1,-41.116804,175.325726,2,1,1795258.76,5445669.677,897608.821598,2722922.501363
187480,1,1,0,0,-44.002983,170.475634,2,1,1397618.964,5124697.654,698787.4805085,2562434.064817
186438,1,1,0,0,-39.133366,177.003793,3,1,1946101.465,5660784.554,973031.1658170001,2830480.7788965
185521,1,1,0,0,-39.080674,177.874369,2,1,2021705.575,5662947.3,1010833.2471629999,2831562.5871845
181400,1,1,0,1,-39.133366,177.003793,3,1,1946101.465,5660784.554,973031.1658170001,2830480.7788965
186082,1,1,0,0,-43.517235,172.587829,2,1,1566687.777,5181662.025,783322.1298825,2590917.3064145003
181865,1,1,0,1,-39.525678,176.861749,2,1,1931955.351,5617760.139,965957.912661,2808968.5003745
189619,1,1,0,0,-38.008473,175.328916,2,1,1804462.814,5790685.266,902212.4027635,2895430.297458
184514,1,1,0,0,-37.7185873,175.2663418,4,1,1799749.934,5822989.948,899856.1077063499,2911582.6071709
180996,1,1,0,1,-41.291425,174.782858,2,1,1749281.874,5427358.265,874620.2912875001,2713766.523929
185937,1,1,0,0,-37.192743,174.983637,6,1,1776059.28,5881902.939,888011.0436285,2941038.9613185003
189013,1,1,0,0,-35.984141,174.44488,2,1,1730253.979,6016845.429,865108.9974295,3008509.93694
183357,1,1,0,0,-43.90528,171.745359,3,1,1499250.062,5137882.392,749603.0783599999,2569027.0686795
181828,1,1,0,1,-37.803753,175.769951,2,1,1843864.781,5812343.767,921913.4886235,2906259.7684755
182906,1,1,0,1,-44.256647,170.100189,2,1,1368512.047,5095531.414,684233.8951765,2547850.7570945
190120,1,1,0,0,-40.20959,176.099002,2,1,1863740.988,5544372.775,931850.3892049999,2772274.437001
190081,1,1,0,0,-38.136053,176.25273,2,1,1885089.265,5774089.118,942525.5644734999,2887132.685365
187638,1,1,0,0,-35.940285,173.872122,2,1,1678662.451,6022323.376,839313.2553574999,3011248.624061
192083,1,1,0,0,-45.256207,169.394619,2,1,1317111.552,4982261.754,658533.1478965,2491215.5743095
179954,1,1,0,0,-43.52414449,172.3662733,4,1,1548787.158,5180782.125,774371.816927755,2590477.24563665
186728,1,1,0,0,-36.586478,174.694796,4,1,1751615.413,5949662.61,875789.413261,2974918.652398
181327,1,1,0,1,-41.26184911,174.9461883,4,1,1763032.078,5430348.079,881495.408075445,2715261.51259415
180863,1,1,0,1,-36.90045521,174.8266498,4,1,1762747.51,5914612.386,881355.3047723951,2957393.6063249
187691,1,1,0,0,-44.303657,171.225107,4,1,1458426.711,5092867.904,729191.2036715,2546519.5645535
186443,1,1,0,0,-39.48127,175.66963,4,1,1829609.829,5626411.636,914785.1738649999,2813293.652815
189640,1,1,0,0,-38.986666,177.791665,2,1,2015098.127,5673768.694,1007529.570167,2836973.2428325
190104,1,1,0,0,-39.177432,175.402147,2,1,1807498.019,5660784.583,903729.4207840001,2830479.9925734997
182351,1,1,0,1,-41.094888,174.868935,2,1,1756958.501,5449026.406,878458.7030559999,2724600.6374675003
189672,1,1,0,0,-40.763595,175.152736,2,1,1781700.115,5485256.254,890829.6757025,2742715.7033679998
182026,1,1,0,1,-46.237234,169.738245,2,1,1348522.06,4874421.225,674237.9113830001,2437295.4816225
183752,1,1,0,0,-41.310593,174.777546,2,1,1748793.483,5425239.313,874376.0862035,2712707.045273
180310,1,1,0,1,-35.940285,173.872122,2,1,1678662.451,6022323.376,839313.2553574999,3011248.624061
183163,1,1,0,0,-36.79874,174.645674,4,1,1746816.373,5926190.496,873389.78713,2963182.570837
181678,1,1,0,1,-35.50505,173.391141,2,1,1635471.66,6070876.152,817718.0774749999,3035524.7715705
180884,1,1,0,1,-36.860782,174.828352,2,1,1762983.505,5919011.102,881473.322109,2959592.965176
185133,1,1,0,0,-41.330898,174.780196,2,1,1748969.054,5422980.45,874463.861551,2711577.615098
187402,1,1,0,0,-41.275823,173.277332,2,1,1623226.554,5430586.151,811592.6390885001,2715379.714166
180381,1,1,0,1,-37.78702527,175.2839907,4,1,1801120.224,5815357.594,900541.2184873649,2907766.4389953497
191275,1,1,0,0,-37.19981522,174.9018157,2,1,1768780.678,5881267.173,884371.73909239,2940721.0374078504
190044,1,1,0,0,-36.860782,174.828352,2,1,1762983.505,5919011.102,881473.322109,2959592.965176
180975,1,1,0,1,-40.948637,175.665992,2,1,1824399.542,5463521.812,912179.2966814999,2731848.738996
192049,1,1,0,0,-43.63206,171.647752,2,1,1490916.479,5168103.805,745436.42347,2584137.726376
182375,1,1,0,1,-41.302333,174.824111,2,1,1752710.759,5426075.456,876334.7283335,2713125.1400555
180001,1,1,0,1,-38.008473,175.328916,2,1,1804462.814,5790685.266,902212.4027635,2895430.297458
180629,1,1,0,1,-45.094048,169.601258,2,1,1332566.064,5000980.7,666260.484976,2500575.1506290003
182364,1,1,0,1,-41.275823,173.277332,2,1,1623226.554,5430586.151,811592.6390885001,2715379.714166
190368,1,1,0,0,-34.517702,172.840523,4,1,1585362.582,6180428.282,792664.032149,3090300.5612614998
190097,1,1,0,0,-38.878762,176.369708,3,1,1892322.302,5691278.164,946141.711619,2845727.266854
182232,1,1,0,1,-41.22468191,174.906075,4,1,1759762.159,5434549.0,879860.467159045,2717361.9530375
