OBJECTID,Is 24 Hours,Car Park Count,Has Carpark Cost,Has Tourist Attraction,Latitude,Longitude,Number Of Connectors,Has Charging Cost,x,y
182442,1,6,0,1,-44.002983,170.475634,2,1,1397618.964,5124697.654
182443,1,0,0,1,-44.00343,170.4769,2,1,1397721.983,5124651.113
182444,1,7,0,1,-44.092764,171.242916,2,1,1459346.291,5116323.058
182445,1,9,0,1,-44.10019,170.829522,2,1,1426275.584,5114708.701
182446,1,8,1,1,-44.137358,171.297181,2,1,1463792.721,5111461.22
182447,1,2,0,1,-44.241656,171.276856,2,1,1462409.847,5099842.669
182448,1,1,0,1,-44.256647,170.100189,2,1,1368512.047,5095531.414
182449,1,3,0,1,-44.382784,171.23798,4,1,1459642.508,5084100.954
182450,1,10,0,1,-44.400611,171.253465,2,1,1460918.247,5082147.216
182451,1,3,1,1,-44.402278,171.25189,2,0,1460796.779,5081959.374
182452,1,3,0,1,-44.488533,169.966399,2,1,1358786.121,5069387.542
182453,1,7,0,1,-44.694064,169.139139,2,1,1294087.405,5043779.671
182454,1,10,0,1,-44.733077,170.470618,2,1,1399721.882,5043588.303
182455,1,7,0,1,-44.734921,171.045541,2,1,1445249.794,5044637.783
182456,1,5,0,1,-44.849429,168.38587,2,1,1235382.402,5023410.433
182457,1,6,0,1,-44.987064,168.67157,4,1,1258776.339,5009366.103
182458,1,4,0,1,-45.010172,168.747621,2,1,1264906.645,5007117.07
182459,1,0,0,1,-45.030802,168.661624,4,1,1258252.95,5004465.355
182460,1,4,0,1,-45.03624,169.196961,2,1,1300451.42,5005984.545
182461,1,8,0,1,-45.094048,169.601258,2,1,1332566.064,5000980.7
182462,1,2,0,1,-45.097049,170.973075,2,1,1440517.284,5004270.072
182463,1,7,1,1,-45.104958,170.969468,3,1,1440255.543,5003384.347
182464,1,2,0,1,-45.128575,170.097858,2,1,1371779.277,4998668.452
182465,1,6,0,1,-45.256207,169.394619,2,1,1317111.552,4982261.754
182466,1,3,0,1,-45.324121,170.816989,2,1,1428918.557,4978724.701
182467,1,7,0,1,-45.416134,167.712652,4,1,1186311.937,4957206.544
182468,1,2,0,1,-45.485131,170.715903,2,1,1421504.581,4960617.727
182469,1,10,0,1,-45.50746,170.118599,2,1,1374916.652,4956635.704
182470,1,4,0,1,-45.511126,168.579404,2,1,1254706.874,4950755.453
182471,1,9,0,1,-45.542158,169.316024,2,1,1312401.168,4950215.873
182472,1,3,0,1,-45.738748,168.441562,2,1,1245381.49,4924865.43
182473,1,8,0,1,-45.863182,170.513276,2,1,1406974.913,4918146.601
182474,1,8,0,1,-45.872193,170.348074,2,1,1394185.104,4916732.508
182475,1,5,0,1,-45.878934,170.503272,4,1,1406253.167,4916372.283
182476,1,5,0,1,-45.891555,170.501399,2,0,1406151.754,4914965.52
182477,1,7,0,1,-45.891877,170.49888,2,1,1405957.449,4914923.619
182478,1,1,0,1,-45.912893,169.686481,2,1,1343028.648,4910290.429
182479,1,4,0,1,-45.94324,169.261463,2,1,1310227.15,4905460.14
182480,1,0,0,1,-46.09977,168.94303,2,1,1286434.375,4886861.589
182481,1,10,0,1,-46.116449,169.964229,2,1,1365430.994,4888533.122
182482,1,2,0,1,-46.136031,167.689386,2,1,1189818.903,4877113.472
182483,1,9,0,1,-46.141652,168.325367,2,1,1238972.897,4879582.704
182484,1,3,0,1,-46.237234,169.738245,2,1,1348522.06,4874421.225
182485,1,7,0,1,-46.352154,168.013665,2,1,1216375.992,4854730.596
182486,1,6,0,1,-46.408229,168.344564,2,0,1242198.206,4850054.335
182487,1,8,0,1,-46.41166,168.35314,2,1,1242879.698,4849711.996
182488,1,7,0,1,-46.45065,169.659753,2,1,1343471.957,4850457.604
182489,1,1,0,1,-46.557705,169.46859,2,1,1329324.208,4837924.368
182490,1,5,0,1,-46.571653,168.795896,2,1,1277850.843,4833843.902
182491,1,7,0,1,-46.599706,168.345328,2,1,1243513.349,4828785.205
182492,1,1,0,1,-46.6609,169.100384,2,1,1301672.124,4825128.362
182493,1,6,0,1,-43.47102288,172.5700622,4,1,1565225.329,5186786.989
182494,1,7,0,1,-41.29210258,174.0064994,2,1,1684273.901,5428327.467
182495,1,4,0,1,-40.91217889,175.0022089,6,1,1768617.094,5469061.963
182496,1,1,0,1,-41.17098912,174.8254394,6,0,1753128.316,5440655.118
182497,1,4,0,1,-43.59915435,172.5120865,8,1,1560619.548,5172531.003
182498,1,3,0,1,-41.25016157,174.7733323,4,0,1748577.796,5431955.742
182499,1,1,0,1,-43.29776068,172.1931401,4,1,1534552.509,5205802.482
182500,1,6,0,1,-41.45148883,172.8368258,4,1,1586370.869,5411108.577
182501,1,6,0,1,-43.3239869,172.6643429,4,1,1572785.318,5203151.292
182502,1,3,0,1,-40.95187263,175.6603085,6,1,1823910.165,5463177.159
182503,1,4,0,1,-38.465401,175.018908,2,1,1776136.993,5740614.931
182504,1,1,0,1,-38.186369,175.212033,3,1,1793729.515,5771194.024
182505,1,8,0,1,-38.882868,175.265623,3,1,1796518.287,5693781.845
182506,1,8,0,1,-39.418318,175.398382,3,1,1806463.481,5634055.768
182507,1,3,0,1,-43.53177229,172.6294569,4,1,1570059.396,5180063.358
182508,0,0,0,1,-36.8817717,174.7840395,4,0,1758989.5,5916757.108
182509,1,1,0,1,-37.77918196,175.333237,4,1,1805479.003,5816120.841
182510,1,8,0,1,-43.90480415,171.7451525,4,1,1499232.675,5137934.991
182511,1,4,0,1,-37.19289256,174.9812599,2,1,1775847.931,5881890.76
182512,1,8,0,1,-37.89063215,175.4674683,2,1,1816975.095,5803449.076
182513,1,0,0,1,-36.99040852,174.8677487,2,1,1766214.003,5904561.265
182514,1,4,0,1,-36.65962612,174.6667544,4,1,1748965.754,5941591.447
182515,1,6,0,1,-43.5255715,172.6736171,2,1,1573624.925,5180766.957
182516,1,4,0,1,-43.51286344,172.637772,2,1,1570722.128,5182166.307
182517,1,10,0,1,-43.51895561,172.59002,2,1,1566865.796,5181471.812
182518,1,9,0,1,-36.96313585,174.9013616,4,1,1769265.997,5907527.938
182519,1,3,0,1,-37.788896,175.258885,2,1,1798904.194,5815203.736
182520,1,1,0,1,-37.822233,175.286619,2,1,1801256.062,5811444.913
182521,1,5,0,1,-36.89243364,174.7971309,2,1,1760134.004,5915552.312
182522,1,6,0,1,-36.84556541,174.7381326,2,1,1754971.147,5920849.52
182523,1,2,0,1,-37.73008592,175.2739356,2,1,1800388.321,5821697.722
182524,1,10,0,1,-40.90742072,174.9996826,2,1,1768416.406,5469595.071
182525,1,2,0,1,-36.8637102,174.615322,2,1,1743986.508,5919028.706
182526,1,7,0,1,-40.62932214,175.2785708,2,1,1792708.673,5499894.484
182527,1,4,0,1,-36.86362411,174.6284814,4,1,1745159.761,5919018.331
182528,1,7,0,1,-36.88837675,174.8314823,2,1,1763203.829,5915944.201
182529,1,8,0,1,-41.09593273,174.8685887,2,1,1756926.927,5448911.045
182530,1,6,0,1,-36.95364994,174.790291,4,1,1759396.951,5908772.004
182531,1,6,0,1,-43.47440163,172.6597129,2,1,1572478.092,5186445.286
182532,1,1,0,1,-36.96008829,174.8323052,2,1,1763124.258,5907986.559
182533,1,7,0,1,-41.2046426,174.9115383,2,1,1760269.023,5436763.744
182534,1,6,0,1,-36.605708,174.662124,4,1,1748655.448,5947580.3
182535,1,9,0,1,-36.86726019,174.775146,2,1,1758226.799,5918381.881
182536,1,1,0,1,-37.00155006,174.8883277,2,1,1768021.024,5903288.977
182537,1,6,0,1,-43.49535608,172.7106759,2,1,1576607.99,5184133.712
182538,1,6,0,1,-43.32684659,172.5996933,2,1,1567545.126,5202810.611
182539,1,1,0,1,-43.30789097,172.672449,2,1,1573435.546,5204941.428
182540,1,7,0,1,-41.34238,173.1878264,4,1,1615714.465,5423217.363
182541,1,1,0,1,-43.59052944,172.3803253,2,1,1549977.679,5173418.0
182542,1,1,0,1,-36.73537503,174.7262988,2,1,1754136.621,5933093.583
182543,1,8,0,1,-43.47959637,172.5552439,2,1,1564031.869,5185828.543
182544,1,3,0,1,-39.67899101,175.8005165,2,1,1840184.727,5604121.158
182545,1,4,0,1,-37.0387406,174.9137961,2,1,1770204.386,5899117.383
182546,1,10,0,1,-41.17573896,174.8260455,2,1,1753168.095,5440126.722
182547,1,1,0,1,-44.3742546,171.2425126,2,1,1459983.237,5085056.129
182548,1,7,0,1,-37.9767127,175.7550304,2,1,1841983.625,5793187.249
182549,1,10,0,1,-37.7912449,175.2802788,2,1,1800781.893,5814897.324
182550,1,0,0,1,-38.62602994,76.0884023,4,1,-1773630.039,17529077.81
182551,1,7,0,1,-37.7785978,175.2748257,2,1,1800335.841,5816312.475
182552,1,3,0,1,-36.8854983,174.6443053,2,1,1746528.584,5916567.348
182553,1,9,0,1,-36.84537,174.762623,4,0,1757155.298,5920831.182
182554,1,2,0,1,-36.77487328,174.5540168,4,0,1738681.743,5928975.105
182555,1,7,0,1,-36.4081402,174.6598009,2,0,1748825.502,5969501.623
182556,1,8,0,1,-36.869245,174.774923,8,0,1758202.828,5918162.045
182557,1,3,0,1,-36.86127,174.770617,2,0,1757835.4,5919053.965
182558,1,5,0,1,-36.890082,174.794549,4,0,1759908.83,5915817.548
182559,1,9,0,1,-36.998846,174.88685,2,0,1767895.475,5903591.601
182560,1,0,0,1,-36.953491,174.472725,1,0,1731121.087,5909273.813
182561,1,6,0,1,-36.81828,174.612684,2,0,1743836.428,5924072.832
182562,1,8,0,1,-36.7466454,174.7350108,4,0,1754891.904,5931829.156
182563,1,4,0,1,-36.844878,174.77181,3,0,1757975.496,5920870.611
182564,1,0,0,1,-36.8652,174.773632,3,0,1758096.086,5918612.959
182565,1,2,0,1,-36.86127448,174.7773301,2,0,1758433.856,5919042.349
182566,1,0,0,1,-37.048889,174.932611,2,0,1771854.984,5897957.554
182567,1,1,0,1,-36.622275,174.6705,4,0,1749372.665,5945729.365
182568,1,6,0,1,-36.997828,174.787725,6,0,1759076.448,5903874.833
182569,1,10,0,1,-36.84537,174.762623,2,0,1757155.298,5920831.182
182570,1,10,0,1,-36.869245,174.774923,8,0,1758202.828,5918162.045
182571,1,7,0,1,-36.902296,174.896278,4,0,1768947.678,5914287.083
182572,1,4,0,1,-37.14472734,174.888101,2,1,1767685.16,5887403.682
182573,1,3,0,1,-37.19981522,174.9018157,2,1,1768780.678,5881267.173
182574,1,5,0,1,-37.24971345,174.7313504,2,1,1753549.82,5876021.024
182575,1,7,0,1,-37.24554635,175.0210361,2,1,1779253.984,5875973.927
182576,1,5,0,1,-43.53568225,172.6254231,8,1,1569735.412,5179627.662
182577,0,9,0,1,-36.9169102,174.9131063,2,1,1770414.615,5912635.711
182578,0,6,0,1,-36.61049431,174.6891852,2,1,1751066.587,5947007.084
182579,1,5,0,1,-43.6055779,172.3860285,8,1,1550450.409,5171750.131
182580,0,2,0,1,-41.31644605,174.8015436,6,1,1750788.848,5424548.058
182581,1,10,0,1,-41.31256762,174.8297718,4,1,1753160.726,5424929.203
182582,1,0,0,1,-34.517702,172.840523,4,1,1585362.582,6180428.282
182583,1,7,0,1,-34.819858,173.124679,2,1,1611402.046,6146926.618
182584,1,4,0,1,-34.992067,173.509309,4,1,1646479.985,6127718.205
182585,1,9,0,1,-35.097925,173.26045,2,0,1623738.172,6116066.316
182586,1,3,0,1,-35.099027,173.259314,4,1,1623634.316,6115944.376
182587,1,5,0,1,-35.118102,173.268864,2,1,1624499.012,6113826.678
182588,1,3,0,1,-35.210342,173.918288,2,1,1683581.511,6103244.197
182589,1,1,0,1,-35.210601,173.919306,2,0,1683673.905,6103214.616
182590,1,9,0,1,-35.228986,173.946827,2,1,1686159.469,6101152.098
182591,1,3,1,1,-35.282895,174.090388,2,1,1699158.058,6095039.187
182592,1,3,0,1,-35.379808,174.065521,2,1,1696780.997,6084315.272
182593,1,4,0,1,-35.407799,173.800554,2,1,1672688.382,6081437.819
182594,1,3,0,1,-35.50505,173.391141,2,1,1635471.66,6070876.152
182595,1,5,1,1,-35.609095,174.525645,2,1,1738183.441,6058335.87
182596,1,4,0,1,-35.684183,174.321699,4,1,1719598.147,6050274.608
182597,1,3,1,1,-35.725908,174.325382,4,1,1719868.942,6045642.033
182598,1,6,0,1,-35.731583,174.330948,4,0,1720363.826,6045005.752
182599,1,5,0,1,-35.750846,174.30856,4,1,1718310.552,6042896.358
182600,1,2,0,1,-35.940285,173.872122,2,1,1678662.451,6022323.376
182601,1,8,0,1,-35.984141,174.44488,2,1,1730253.979,6016845.429
182602,1,5,1,1,-36.1248,174.57504,2,1,1741736.104,6001060.574
182603,1,5,0,1,-36.160955,174.443894,2,1,1729873.993,5997233.324
182604,1,6,0,1,-36.163899,174.443577,6,1,1729840.622,5996907.175
182605,1,2,0,1,-36.399244,174.66644,4,1,1749437.884,5970478.273
182606,1,4,0,1,-36.586478,174.694796,4,1,1751615.413,5949662.61
182607,1,0,0,1,-36.730307,174.704564,2,1,1752205.82,5933690.608
